Valor de k,Exactiud media,Desviación
5.0,0.999865229110512,0.00026954177897575704
6.0,0.9997304582210242,0.0005390835579514697
7.0,0.999865229110512,0.00026954177897575704
8.0,0.9993261455525605,0.0010439308210801845
9.0,0.9993261455525605,0.0010439308210801845
10.0,0.998921832884097,0.001387551231938942
11.0,0.999056603773585,0.0013204796457052064
12.0,0.9987870619946092,0.0015007451112749408
13.0,0.9987870619946092,0.0015007451112749408
14.0,0.9987870619946092,0.0015007451112749408
15.0,0.9987870619946092,0.0015007451112749408
16.0,0.9987870619946092,0.0015007451112749408
17.0,0.9987870619946092,0.0015007451112749408
18.0,0.9987870619946092,0.0015007451112749408
19.0,0.9986522911051212,0.0017047318922740712
20.0,0.9986522911051212,0.0017047318922740712
21.0,0.9986522911051212,0.0017047318922740712
22.0,0.9986522911051212,0.0017047318922740712
23.0,0.9986522911051212,0.0017047318922740712
24.0,0.9985175202156334,0.001828121289252093
25.0,0.9985175202156334,0.001828121289252093
26.0,0.9985175202156334,0.001828121289252093
27.0,0.9985175202156334,0.001828121289252093
28.0,0.9981132075471697,0.0020615981860887403
29.0,0.9982479784366577,0.0018867924528301913
30.0,0.9978436657681939,0.002147894535109047
31.0,0.9977088948787063,0.0018380298782999906
32.0,0.9979784366576819,0.0019530157339878022
33.0,0.9981132075471699,0.0017777501291472901
34.0,0.9977088948787063,0.0023575277202878557
35.0,0.9977088948787063,0.0023575277202878557
36.0,0.9974393530997304,0.002147894535109059
37.0,0.9971698113207547,0.0019715281453272005
38.0,0.9973045822102427,0.0020439017369411287
39.0,0.9973045822102427,0.0019530157339878024
40.0,0.9970350404312669,0.0019343261582759233
41.0,0.9969002695417789,0.001934326158275923
42.0,0.9969002695417789,0.001934326158275923
43.0,0.9966307277628033,0.002214511688026266
44.0,0.9966307277628033,0.002214511688026266
45.0,0.9951482479784366,0.0035758757847497635
46.0,0.9950134770889487,0.0034254083631102207
47.0,0.9938005390835579,0.002708861353401857
48.0,0.9935309973045822,0.0028140987894637636
49.0,0.9924528301886791,0.0038214142530344428
50.0,0.9923180592991911,0.004011556891142106
51.0,0.9915094339622641,0.0035809515513709964
52.0,0.9913746630727761,0.003749441440227376
53.0,0.9915094339622641,0.0035809515513709964
54.0,0.9913746630727761,0.003749441440227376
55.0,0.9915094339622641,0.0035809515513709964
56.0,0.9915094339622641,0.0035809515513709964
57.0,0.9911051212938006,0.002463027881738144
58.0,0.9908355795148248,0.0027155581778449665
59.0,0.9908355795148248,0.0027155581778449665
60.0,0.990700808625337,0.0027421819338781113
61.0,0.990700808625337,0.0027421819338781113
62.0,0.9905660377358491,0.002695417789757387
63.0,0.9905660377358491,0.002695417789757387
64.0,0.9905660377358491,0.002695417789757387
65.0,0.9905660377358491,0.002695417789757387
66.0,0.9902964959568733,0.0028461876121216646
67.0,0.989487870619946,0.003826164303659909
68.0,0.9892183288409703,0.004240467041119202
69.0,0.989487870619946,0.003966021285596254
70.0,0.9886792452830189,0.0042915588485419294
71.0,0.988544474393531,0.0041539177917580584
72.0,0.9882749326145552,0.004316877999473546
73.0,0.9880053908355796,0.004118788892166058
74.0,0.9878706199460916,0.0043042370411512645
75.0,0.9880053908355795,0.004291558848541925
76.0,0.987466307277628,0.004522361653790416
77.0,0.9874663072776281,0.0032624577997062295
78.0,0.9870619946091643,0.0032288810109732742
79.0,0.9869272237196766,0.00303159619385498
80.0,0.9869272237196766,0.00303159619385498
81.0,0.9871967654986523,0.0030435551996323943
82.0,0.9867924528301886,0.0032624577997062624
83.0,0.9869272237196766,0.0032901767158311913
84.0,0.9866576819407008,0.0034988557913065363
85.0,0.9846361185983827,0.007021033033763415
86.0,0.984501347708895,0.006898374065805791
87.0,0.9846361185983827,0.006635328099779599
88.0,0.9846361185983827,0.00664900074584582
89.0,0.9836927223719675,0.006048195599007231
90.0,0.9835579514824797,0.006315565775665761
91.0,0.9836927223719677,0.006033161532506559
92.0,0.9834231805929917,0.0062432532732617065
93.0,0.983288409703504,0.006196530421872051
94.0,0.9830188679245282,0.0061376267044397316
95.0,0.9828840970350404,0.006066187296456547
96.0,0.9830188679245282,0.006093075232052456
97.0,0.9828840970350404,0.006066187296456547
98.0,0.9827493261455524,0.006329929145993165
99.0,0.9828840970350404,0.005790445029364087
